id,value,date
140,0.345332,2014-05-25
141,0.221179,2014-03-14
142,0.205675,2014-12-16
143,0.446395,2014-06-05
144,0.521422,2014-10-30
145,0.319526,2014-12-10
146,0.886625,2014-04-25
147,0.161014,2014-11-28
148,0.056339,2014-11-16
149,0.275102,2014-03-30
150,0.743813,2014-05-09
151,0.125048,2014-11-28
152,0.745819,2014-10-25
153,0.259181,2014-08-21
154,0.926110,2014-03-15
155,0.210463,2014-07-25
156,0.761625,2014-04-04
157,0.281571,2014-11-04
158,0.804705,2014-11-29
159,0.466054,2014-03-26
160,0.266936,2014-07-23
161,0.192909,2014-06-05
162,0.978590,2014-10-06
163,0.239721,2014-05-17
164,0.713462,2014-04-10
165,0.844581,2014-06-08
166,0.834917,2014-02-03
167,0.328142,2014-12-09
168,0.791783,2014-09-09
169,0.128971,2014-07-13
170,0.816128,2014-03-07
171,0.212060,2014-10-02
172,0.734419,2014-04-24
173,0.420702,2014-06-13
174,0.442727,2014-05-14
175,0.804017,2014-11-18
176,0.518741,2014-07-11
177,0.137476,2014-06-23
178,0.382959,2014-09-06
179,0.434783,2014-02-14
180,0.296705,2014-06-08
181,0.432314,2014-07-29
182,0.364401,2014-10-13
183,0.421102,2014-04-02
184,0.198676,2014-05-23
185,0.186269,2014-01-08
186,0.883594,2014-03-07
187,0.907811,2014-05-03
188,0.123185,2014-05-02
189,0.666077,2014-07-16
190,0.469143,2014-04-30
191,0.359651,2014-04-22
192,0.197216,2014-11-23
193,0.621372,2014-10-13
194,0.536650,2014-07-05
195,0.141500,2014-08-20
196,0.135333,2014-06-26
197,0.327769,2014-03-15
198,0.856985,2014-10-12
199,0.493524,2014-11-28
200,0.183407,2014-10-01
201,0.077991,2014-08-14
202,0.220438,2014-09-10
203,0.626882,2014-10-07
204,0.853825,2014-06-07
205,0.203678,2014-10-05
206,0.222368,2014-03-01
207,0.667259,2014-08-04
208,0.200431,2014-01-18
209,0.661166,2014-07-04
210,0.303171,2014-10-10
211,0.266558,2014-01-26
212,0.018979,2014-06-12
213,0.089253,2014-04-29
214,0.185888,2014-07-10
215,0.453405,2014-09-27
216,0.116505,2014-11-09
217,0.792088,2014-09-27
218,0.284092,2014-11-21
219,0.128526,2014-03-26
220,0.982764,2014-01-19
221,0.257805,2014-12-21
222,0.866562,2014-07-31
223,0.930185,2014-11-21
224,0.279373,2014-11-22
225,0.611395,2014-05-26
226,0.242595,2014-04-30
227,0.262957,2014-02-05
228,0.361702,2014-10-16
229,0.919356,2014-05-29
230,0.427043,2014-09-23
231,0.094227,2014-06-02
232,0.896020,2014-06-27
233,0.369241,2014-03-30
234,0.929442,2014-08-01
235,0.190477,2014-09-24
236,0.791704,2014-04-22
237,0.572079,2014-09-08
238,0.850599,2014-03-16
239,0.764550,2014-09-16
240,0.106433,2014-06-01
241,0.667027,2014-04-17
242,0.727368,2014-05-02
243,0.434273,2014-04-15
244,0.737213,2014-03-12
245,0.788520,2014-10-20
246,0.362362,2014-09-28
247,0.726409,2014-11-04
248,0.930709,2014-09-01
249,0.762616,2014-11-29
250,0.302006,2014-03-16
251,0.392964,2014-12-15
252,0.764440,2014-10-30
253,0.585872,2014-11-15
254,0.873886,2014-04-03
255,0.944986,2014-03-27
256,0.296692,2014-10-23
257,0.579275,2014-03-08
258,0.148953,2014-05-08
259,0.339143,2014-05-26
260,0.859276,2014-10-16
261,0.650588,2014-04-09
262,0.379580,2014-11-11
263,0.765822,2014-04-17
264,0.886643,2014-05-20
265,0.925398,2014-11-13
266,0.751019,2014-06-15
267,0.599950,2014-12-16
268,0.358793,2014-11-15
269,0.771626,2014-06-24
270,0.122130,2014-02-08
271,0.068211,2014-07-24
272,0.569568,2014-06-15
273,0.870992,2014-04-10
274,0.763677,2014-09-02
275,0.810656,2014-06-26
276,0.615740,2014-08-28
277,0.534509,2014-03-04
278,0.465582,2014-07-20
279,0.219751,2014-03-04
280,0.832084,2014-07-27
281,0.696116,2014-08-27
282,0.481491,2014-03-17
283,0.289170,2014-06-28
284,0.531101,2014-11-27
285,0.726526,2014-01-04
286,0.255960,2014-01-10
287,0.483265,2014-05-23
288,0.357554,2014-01-06
289,0.727848,2014-08-16
290,0.435088,2014-09-07
291,0.543900,2014-02-21
292,0.029886,2014-08-15
293,0.122753,2014-09-20
294,0.797397,2014-11-21
295,0.460557,2014-09-27
296,0.916080,2014-12-11
297,0.041031,2014-12-15
298,0.118151,2014-02-21
299,0.280783,2014-06-04
300,0.268628,2014-12-28
301,0.015843,2014-04-26
302,0.827365,2014-01-29
303,0.513748,2014-04-27
304,0.301149,2014-10-22
305,0.536830,2014-04-09
306,0.788537,2014-06-22
307,0.134621,2014-03-31
308,0.750431,2014-04-01
309,0.278280,2014-10-01
310,0.693046,2014-02-01
311,0.458743,2014-09-06
312,0.078929,2014-05-19
313,0.532380,2014-05-14
314,0.981649,2014-09-30
315,0.590451,2014-09-10
316,0.558732,2014-06-23
317,0.850957,2014-10-01
318,0.771814,2014-09-04
319,0.173826,2014-03-03
320,0.930447,2014-11-16
321,0.753709,2014-01-06
322,0.244364,2014-09-18
323,0.552475,2014-03-21
324,0.970399,2014-06-25
325,0.893782,2014-09-05
326,0.993121,2014-12-26
327,0.547477,2014-03-10
328,0.164211,2014-12-12
329,0.137394,2014-01-07
330,0.091157,2014-02-11
331,0.897504,2014-04-20
332,0.456650,2014-03-06
333,0.489516,2014-07-14
334,0.825064,2014-02-03
335,0.399286,2014-03-01
336,0.467527,2014-01-29
337,0.394999,2014-04-10
338,0.321082,2014-05-16
339,0.880088,2014-09-18
340,0.372469,2014-05-10
341,0.217564,2014-01-05
342,0.841677,2014-05-08
343,0.076736,2014-03-02
344,0.414649,2014-12-30
345,0.833061,2014-04-01
346,0.188048,2014-11-14
347,0.703483,2014-02-22
348,0.393042,2014-08-03
349,0.881779,2014-05-09
350,0.028439,2014-10-30
351,0.945657,2014-08-08
352,0.058407,2014-11-14
353,0.344535,2014-08-28
354,0.488368,2014-09-09
355,0.069002,2014-09-02
356,0.752422,2014-05-01
357,0.434328,2014-01-30
358,0.261337,2014-05-03
359,0.303954,2014-08-10
360,0.684249,2014-12-10
361,0.871252,2014-09-23
362,0.696632,2014-05-24
363,0.446317,2014-03-22
364,0.377707,2014-07-29
365,0.817628,2014-10-25
366,0.098118,2014-09-18
367,0.224764,2014-03-03
368,0.215709,2014-12-01
369,0.436946,2014-07-15
370,0.874956,2014-10-09
371,0.947493,2014-02-17
372,0.275901,2014-08-16
373,0.372003,2014-08-01
374,0.630587,2014-09-28
375,0.929191,2014-12-03
376,0.010014,2014-05-24
377,0.817337,2014-05-01
378,0.886041,2014-08-15
379,0.641323,2014-05-15
380,0.966830,2014-12-30
381,0.990498,2014-04-09
382,0.298878,2014-03-19
383,0.498469,2014-02-11
384,0.129857,2014-10-30
385,0.107470,2014-06-24
386,0.049160,2014-02-05
387,0.384295,2014-07-14
388,0.209537,2014-12-20
389,0.980510,2014-04-04
390,0.671074,2014-04-25
391,0.608411,2014-02-06
392,0.693619,2014-06-14
393,0.197074,2014-09-29
394,0.254104,2014-04-06
395,0.650715,2014-04-20
396,0.509327,2014-08-26
397,0.208270,2014-03-11
398,0.872445,2014-06-19
399,0.871104,2014-12-09
400,0.854204,2014-11-26
401,0.313530,2014-03-25
402,0.913101,2014-01-08
403,0.623128,2014-05-29
404,0.871240,2014-06-10
405,0.876324,2014-10-26
406,0.584648,2014-12-16
407,0.503385,2014-02-24
408,0.745283,2014-01-13
409,0.032478,2014-09-07
410,0.473736,2014-03-05
411,0.623817,2014-10-31
412,0.993248,2014-06-04
413,0.304093,2014-02-18
414,0.048486,2014-12-12
415,0.785952,2014-02-27
416,0.112084,2014-04-25
417,0.704747,2014-03-20
418,0.738632,2014-01-01
419,0.203983,2014-08-28
420,0.568719,2014-01-17
421,0.439012,2014-02-17
422,0.444937,2014-11-17
423,0.206851,2014-10-31
424,0.420508,2014-07-30
425,0.101789,2014-09-14
426,0.953767,2014-02-12
427,0.521850,2014-12-17
428,0.858363,2014-01-02
429,0.791521,2014-12-01
430,0.219803,2014-05-06
431,0.614545,2014-02-16
432,0.287775,2014-06-14
433,0.647537,2014-06-12
434,0.975680,2014-06-22
435,0.572227,2014-04-14
436,0.125049,2014-10-19
437,0.696719,2014-08-15
438,0.846456,2014-01-07
439,0.335887,2014-05-13
440,0.787363,2014-12-31
441,0.101534,2014-06-16
442,0.718242,2014-12-07
443,0.365358,2014-10-28
444,0.233980,2014-01-10
445,0.913539,2014-12-29
446,0.085862,2014-03-07
447,0.976799,2014-12-17
448,0.524855,2014-07-27
449,0.793751,2014-10-01
450,0.221173,2014-01-12
451,0.562373,2014-05-29
452,0.244218,2014-02-04
453,0.435611,2014-10-24
454,0.070487,2014-09-08
455,0.462498,2014-09-14
456,0.603309,2014-10-29
457,0.482927,2014-06-09
458,0.356184,2014-08-11
459,0.843460,2014-07-25
460,0.832576,2014-10-19
461,0.395188,2014-12-07
462,0.595231,2014-12-08
463,0.100529,2014-06-03
464,0.858845,2014-07-05
465,0.245956,2014-02-06
466,0.432284,2014-12-24
467,0.712471,2014-07-13
468,0.663130,2014-05-31
469,0.171682,2014-07-01
470,0.557548,2014-05-02
471,0.095255,2014-01-06
472,0.335944,2014-06-28
473,0.400790,2014-10-11
474,0.027055,2014-06-23
475,0.369298,2014-05-07
476,0.711440,2014-08-15
477,0.413639,2014-04-08
478,0.515736,2014-09-05
479,0.320648,2014-03-23
480,0.986243,2014-03-27
481,0.101202,2014-08-15
482,0.873824,2014-01-17
483,0.219004,2014-12-21
484,0.447985,2014-02-24
485,0.818742,2014-06-14
486,0.013207,2014-05-06
487,0.340114,2014-04-18
488,0.439143,2014-03-16
489,0.971652,2014-04-22
490,0.852403,2014-04-30
491,0.168822,2014-08-04
492,0.390050,2014-07-18
493,0.363407,2014-10-04
494,0.828822,2014-08-29
495,0.648752,2014-08-25
496,0.125085,2014-01-22
497,0.609341,2014-09-20
498,0.708622,2014-02-21
499,0.314042,2014-05-21
500,0.338748,2014-08-14
501,0.140185,2014-06-23
502,0.588628,2014-02-13
503,0.696741,2014-06-19
504,0.096134,2014-03-28
505,0.695844,2014-08-14
506,0.049685,2014-07-22
507,0.651383,2014-10-03
508,0.561267,2014-11-11
509,0.255188,2014-06-02
510,0.803030,2014-01-14
511,0.987536,2014-07-29
512,0.963903,2014-09-12
513,0.647421,2014-11-10
514,0.078954,2014-12-26
515,0.497373,2014-07-31
516,0.569830,2014-10-05
517,0.843077,2014-01-14
518,0.079897,2014-12-15
519,0.336118,2014-11-28
520,0.574762,2014-06-23
521,0.919014,2014-09-12
522,0.298701,2014-10-30
523,0.855062,2014-11-12
524,0.791985,2014-08-28
525,0.421223,2014-07-19
526,0.641119,2014-07-14
527,0.966812,2014-02-10
528,0.039823,2014-04-25
529,0.665808,2014-10-21
530,0.290335,2014-02-07
531,0.568739,2014-04-20
532,0.343303,2014-11-20
533,0.644864,2014-03-24
534,0.474616,2014-01-10
535,0.873233,2014-02-18
536,0.954102,2014-02-12
537,0.672432,2014-12-30
538,0.029662,2014-02-18
539,0.917921,2014-04-29
540,0.109634,2014-02-20
541,0.867255,2014-12-26
542,0.833615,2014-11-10
543,0.651178,2014-04-06
544,0.161836,2014-07-04
545,0.975071,2014-07-01
546,0.685825,2014-02-07
547,0.036396,2014-08-06
548,0.645588,2014-09-14
549,0.058053,2014-03-27
550,0.040886,2014-07-13
551,0.002805,2014-08-08
552,0.785334,2014-01-19
553,0.660406,2014-01-11
554,0.028611,2014-05-11
555,0.870431,2014-08-27
556,0.951715,2014-05-19
557,0.494536,2014-04-18
558,0.749112,2014-06-07
559,0.535790,2014-04-12
560,0.740833,2014-06-20
561,0.378291,2014-02-21
562,0.169865,2014-07-31
563,0.867153,2014-08-31
564,0.825366,2014-02-21
565,0.881490,2014-08-28
566,0.531757,2014-10-04
567,0.096672,2014-04-29
568,0.190317,2014-12-14
569,0.676671,2014-12-16
570,0.011361,2014-03-23
571,0.324035,2014-02-18
572,0.240283,2014-01-30
573,0.660417,2014-02-28
574,0.520653,2014-07-08
575,0.059783,2014-12-17
576,0.926220,2014-02-24
577,0.988256,2014-08-27
578,0.597087,2014-04-07
579,0.502527,2014-06-19
580,0.692227,2014-11-03
581,0.696789,2014-10-09
582,0.299019,2014-06-12
583,0.423228,2014-05-16
584,0.358425,2014-01-03
585,0.017077,2014-02-27
586,0.783080,2014-03-17
587,0.191184,2014-09-23
588,0.456367,2014-05-06
589,0.792945,2014-03-29
590,0.567751,2014-06-08
591,0.312985,2014-01-27
592,0.093826,2014-04-25
593,0.845288,2014-04-21
594,0.733653,2014-08-27
595,0.779439,2014-01-29
596,0.943473,2014-09-10
597,0.270022,2014-06-03
598,0.763241,2014-01-26
599,0.812570,2014-02-02
600,0.510982,2014-11-11
601,0.418203,2014-06-09
602,0.532385,2014-10-19
603,0.660251,2014-02-07
604,0.963672,2014-08-11
605,0.455658,2014-11-24
606,0.320429,2014-12-30
607,0.388067,2014-04-29
608,0.641937,2014-04-26
609,0.100696,2014-10-06
610,0.029651,2014-04-12
611,0.398227,2014-04-08
612,0.928319,2014-10-02
613,0.175342,2014-10-26
614,0.854613,2014-03-05
615,0.798662,2014-03-22
616,0.713812,2014-01-07
617,0.222219,2014-11-07
618,0.917845,2014-10-17
619,0.389590,2014-12-14
620,0.540331,2014-05-21
621,0.599130,2014-12-30
622,0.731654,2014-07-15
623,0.372309,2014-10-23
624,0.115083,2014-04-22
625,0.568290,2014-10-02
626,0.648826,2014-09-17
627,0.684254,2014-12-27
628,0.776665,2014-04-16
629,0.249716,2014-06-15
630,0.921999,2014-09-05
631,0.137618,2014-09-13
632,0.273187,2014-04-16
633,0.014093,2014-01-08
634,0.566802,2014-01-09
635,0.187582,2014-04-14
636,0.140652,2014-10-31
637,0.250928,2014-08-26
638,0.934928,2014-03-29
639,0.196548,2014-10-07
640,0.422408,2014-08-20
641,0.481286,2014-09-13
642,0.702415,2014-08-22
643,0.532031,2014-01-19
644,0.162054,2014-09-21
645,0.496443,2014-03-02
646,0.957566,2014-09-08
647,0.038232,2014-06-02
648,0.192004,2014-02-23
649,0.265223,2014-07-21
650,0.390926,2014-12-03
651,0.438220,2014-11-21
652,0.082187,2014-11-02
653,0.051223,2014-01-09
654,0.538460,2014-06-07
655,0.040078,2014-03-17
656,0.654025,2014-11-30
657,0.304939,2014-09-06
658,0.284888,2014-10-11
659,0.333407,2014-11-19
660,0.128456,2014-04-03
661,0.898069,2014-12-07
662,0.683751,2014-02-03
663,0.784668,2014-06-20
664,0.013208,2014-06-15
665,0.040105,2014-08-11
666,0.279482,2014-04-08
667,0.348243,2014-04-16
668,0.326335,2014-03-24
669,0.506272,2014-04-11
670,0.485492,2014-01-30
671,0.499619,2014-03-23
672,0.168206,2014-05-22
673,0.478611,2014-06-04
674,0.274936,2014-02-24
675,0.772665,2014-09-23
676,0.219710,2014-05-02
677,0.669389,2014-06-07
678,0.065537,2014-03-18
679,0.440465,2014-09-20
680,0.160060,2014-12-24
681,0.223922,2014-01-11
682,0.226702,2014-03-26
683,0.968645,2014-10-26
684,0.496294,2014-07-23
685,0.822711,2014-04-17
686,0.951094,2014-06-06
687,0.090866,2014-03-13
688,0.979512,2014-09-19
689,0.161853,2014-12-17
690,0.167114,2014-02-10
691,0.190787,2014-08-24
692,0.614406,2014-05-19
693,0.236465,2014-01-08
694,0.312951,2014-08-26
695,0.751528,2014-08-21
696,0.570428,2014-10-29
697,0.673839,2014-12-13
698,0.247800,2014-08-04
699,0.630567,2014-02-05
700,0.389128,2014-05-04
701,0.486219,2014-07-01
702,0.090731,2014-03-09
703,0.393602,2014-03-09
704,0.701990,2014-12-22
705,0.107065,2014-01-14
706,0.570548,2014-06-10
707,0.438472,2014-02-16
708,0.174964,2014-09-24
709,0.549200,2014-12-05
710,0.893880,2014-11-28
711,0.482812,2014-03-17
712,0.345859,2014-06-11
713,0.018039,2014-07-07
714,0.644839,2014-08-16
715,0.999300,2014-10-06
716,0.058982,2014-04-05
717,0.840476,2014-01-04
718,0.837270,2014-02-12
719,0.296041,2014-06-03
720,0.295362,2014-04-02
721,0.890312,2014-12-21
722,0.554538,2014-05-25
723,0.935238,2014-10-26
724,0.555466,2014-06-13
725,0.837659,2014-08-04
726,0.599365,2014-01-10
727,0.072766,2014-02-18
728,0.107650,2014-09-28
729,0.285710,2014-12-20
730,0.860206,2014-10-20
731,0.628574,2014-10-11
732,0.631907,2014-08-01
733,0.027108,2014-12-21
734,0.436295,2014-03-24
735,0.223707,2014-10-07
736,0.075955,2014-08-05
737,0.201674,2014-09-15
738,0.406077,2014-08-05
739,0.873988,2014-03-18
740,0.813491,2014-09-08
741,0.336622,2014-05-07
742,0.838629,2014-07-28
743,0.432868,2014-05-12
744,0.488051,2014-10-20
745,0.369959,2014-09-24
746,0.813427,2014-07-04
747,0.351931,2014-10-09
748,0.203771,2014-09-04
749,0.733322,2014-05-26
750,0.960827,2014-11-30
751,0.275353,2014-02-27
752,0.008237,2014-08-31
753,0.769616,2014-08-12
754,0.528110,2014-03-07
755,0.250477,2014-01-12
756,0.958656,2014-05-29
757,0.141755,2014-09-21
758,0.591559,2014-10-13
759,0.162841,2014-09-08
760,0.400960,2014-06-10
761,0.838966,2014-08-17
762,0.457092,2014-04-18
763,0.595653,2014-09-06
764,0.433547,2014-04-19
765,0.997438,2014-03-02
766,0.607643,2014-10-28
767,0.704130,2014-03-14
768,0.706026,2014-06-30
769,0.413194,2014-07-25
770,0.112288,2014-12-11
771,0.927924,2014-09-14
772,0.130488,2014-05-22
773,0.945782,2014-12-30
774,0.074497,2014-09-16
775,0.854508,2014-08-16
776,0.887246,2014-01-18
777,0.654656,2014-12-05
778,0.370974,2014-10-14
779,0.582861,2014-02-24
780,0.679641,2014-03-01
781,0.895320,2014-06-23
782,0.009543,2014-05-29
783,0.002148,2014-04-18
784,0.197261,2014-04-16
785,0.977817,2014-09-25
786,0.050247,2014-07-05
787,0.909632,2014-10-06
788,0.503275,2014-03-24
789,0.034589,2014-09-17
790,0.899092,2014-12-24
791,0.682398,2014-05-05
792,0.534245,2014-08-25
793,0.343600,2014-10-18
794,0.584908,2014-08-23
795,0.113633,2014-08-10
796,0.768942,2014-05-07
797,0.126238,2014-01-20
798,0.928441,2014-08-14
799,0.552831,2014-12-17
800,0.091206,2014-08-27
801,0.454025,2014-06-14
802,0.060479,2014-05-05
803,0.404900,2014-10-01
804,0.126795,2014-10-25
805,0.212452,2014-10-29
806,0.335727,2014-07-14
807,0.472061,2014-02-10
808,0.576524,2014-10-12
809,0.749859,2014-03-07
810,0.072577,2014-11-19
811,0.699479,2014-03-04
812,0.410450,2014-04-01
813,0.513460,2014-01-11
814,0.124217,2014-03-02
815,0.685927,2014-06-09
816,0.341985,2014-03-09
817,0.162337,2014-12-31
818,0.379548,2014-09-09
819,0.523455,2014-01-10
820,0.140496,2014-03-11
821,0.976046,2014-03-03
822,0.228254,2014-12-11
823,0.291621,2014-10-20
824,0.425170,2014-12-17
825,0.463332,2014-03-22
826,0.561723,2014-11-04
827,0.119385,2014-02-19
828,0.104436,2014-11-08
829,0.503565,2014-07-23
830,0.800137,2014-02-15
831,0.557005,2014-11-27
832,0.003700,2014-08-31
833,0.424082,2014-09-10
834,0.736354,2014-11-04
835,0.498569,2014-10-20
836,0.359533,2014-11-23
837,0.878445,2014-03-11
838,0.053970,2014-05-31
839,0.809190,2014-05-29
840,0.517857,2014-05-13
841,0.525160,2014-06-13
842,0.711747,2014-11-28
843,0.410417,2014-11-25
844,0.773242,2014-04-29
845,0.433506,2014-09-07
846,0.700396,2014-05-30
847,0.682439,2014-10-16
848,0.867753,2014-11-29
849,0.348002,2014-04-20
850,0.451417,2014-04-21
851,0.678643,2014-08-28
852,0.525044,2014-06-19
853,0.143298,2014-06-14
854,0.135673,2014-06-14
855,0.042375,2014-12-23
856,0.111855,2014-12-11
857,0.370476,2014-11-25
858,0.391662,2014-09-15
859,0.912067,2014-08-08
860,0.632310,2014-01-07
861,0.267504,2014-06-10
862,0.149570,2014-12-26
863,0.033483,2014-06-28
864,0.513760,2014-10-23
865,0.937898,2014-08-17
866,0.726369,2014-09-04
867,0.025620,2014-07-10
868,0.197377,2014-12-03
869,0.819099,2014-02-07
870,0.574666,2014-12-05
871,0.556715,2014-05-01
872,0.545223,2014-10-12
873,0.618509,2014-06-28
874,0.698866,2014-08-13
875,0.710065,2014-01-17
876,0.424310,2014-04-25
877,0.358476,2014-04-21
878,0.059686,2014-11-05
879,0.816447,2014-01-12
880,0.318057,2014-05-14
881,0.711272,2014-08-30
882,0.751932,2014-10-19
883,0.169433,2014-06-26
884,0.664768,2014-06-14
885,0.870439,2014-11-01
886,0.736980,2014-10-15
887,0.952898,2014-01-17
888,0.738353,2014-02-08
889,0.666724,2014-04-08
890,0.931040,2014-11-19
891,0.347922,2014-04-22
892,0.023763,2014-02-27
893,0.956703,2014-01-11
894,0.246715,2014-06-24
895,0.128115,2014-03-08
896,0.148437,2014-05-03
897,0.293086,2014-02-21
898,0.043496,2014-02-11
899,0.993715,2014-02-25
900,0.392986,2014-10-05
901,0.130854,2014-06-22
902,0.858541,2014-04-17
903,0.713930,2014-03-02
904,0.604102,2014-05-31
905,0.944798,2014-05-25
906,0.091462,2014-05-18
907,0.530899,2014-09-28
908,0.630160,2014-06-09
909,0.974704,2014-08-09
910,0.630920,2014-08-09
911,0.733546,2014-12-30
912,0.508394,2014-06-18
913,0.436511,2014-11-07
914,0.790451,2014-09-25
915,0.525314,2014-07-24
916,0.545032,2014-11-18
917,0.507749,2014-03-30
918,0.532484,2014-10-26
919,0.530456,2014-06-30
920,0.421570,2014-03-29
921,0.997112,2014-04-27
922,0.514728,2014-07-19
923,0.718390,2014-12-02
924,0.548933,2014-08-16
925,0.716555,2014-04-13
926,0.276942,2014-11-10
927,0.548467,2014-05-19
928,0.294821,2014-05-11
929,0.695125,2014-06-24
930,0.256323,2014-09-11
931,0.912824,2014-10-13
932,0.221203,2014-07-30
933,0.819668,2014-07-17
934,0.762753,2014-04-10
935,0.834464,2014-11-06
936,0.173815,2014-03-30
937,0.950833,2014-03-13
938,0.277575,2014-11-29
939,0.946130,2014-12-25
940,0.486568,2014-01-20
941,0.215725,2014-09-25
942,0.064418,2014-01-28
943,0.120339,2014-07-28
944,0.831202,2014-07-24
945,0.121462,2014-07-27
946,0.156967,2014-02-06
947,0.047588,2014-08-10
948,0.478192,2014-09-09
949,0.887011,2014-08-18
950,0.968980,2014-08-24
951,0.188875,2014-12-31
952,0.845147,2014-10-12
953,0.343663,2014-10-16
954,0.612915,2014-06-07
955,0.078296,2014-02-20
956,0.884030,2014-02-24
957,0.866168,2014-05-28
958,0.616876,2014-01-13
959,0.943692,2014-09-29
960,0.442421,2014-07-26
961,0.770179,2014-08-06
962,0.346957,2014-08-14
963,0.574104,2014-03-02
964,0.156771,2014-09-09
965,0.446128,2014-05-02
966,0.075821,2014-05-16
967,0.418522,2014-10-19
968,0.222912,2014-10-05
969,0.576691,2014-03-18
970,0.851106,2014-04-18
971,0.773854,2014-05-28
972,0.887205,2014-12-10
973,0.842751,2014-12-15
974,0.725830,2014-09-06
975,0.885312,2014-07-15
976,0.928476,2014-11-07
977,0.006579,2014-12-19
978,0.351118,2014-12-02
979,0.012041,2014-09-07
980,0.129840,2014-04-04
981,0.359064,2014-12-19
982,0.646792,2014-04-10
983,0.733139,2014-10-04
984,0.222550,2014-10-30
985,0.082746,2014-09-25
986,0.400006,2014-03-09
987,0.029732,2014-08-02
988,0.502128,2014-11-04
989,0.128554,2014-03-17
990,0.386109,2014-07-18
991,0.655727,2014-12-08
992,0.711249,2014-09-02
993,0.013035,2014-12-01
994,0.725672,2014-12-25
995,0.043652,2014-02-06
996,0.691727,2014-03-04
997,0.822072,2014-12-12
998,0.488210,2014-07-13
